LABELS
SEPARATOR COMMA
DATA
Cibotium_menziesii|Cibotium_arachnoideum,Cibotiaceae
Culcita_macrocarpa|Culcita_coniifolia,Culcitaceae
Cyathea_minuta|Sphaeropteris_novae-caledoniae,Cyatheaceae
Dicksonia_archboldii|Calochlaena_straminea,Dicksoniaceae
Loxsoma_cunninghamii|Loxsomopsis_pearcei,Loxsomataceae
Metaxya_contamanensis|Metaxya_parkeri,Metaxyaceae
Plagiogyria_japonica|Plagiogyria_pectinata,Plagiogyriaceae
Equisetum_ferrissii|Equisetum_pratense,Equisetaceae
Cheiropleuria_integrifolia|Dipteris_conjugata,Dipteridaceae
Sticherus_compactus|Rouxopteris_boryi,Gleicheniaceae
Matonia_pectinata|Phanerosorus_major,Matoniaceae
Crepidomanes_inopinatum|Hymenophyllum_scabrum,Hymenophyllaceae
Angiopteris_cartilagidens|Danaea_erecta,Marattiaceae
Botrychium_gallicomontanum|Mankyua_chejuense,Ophioglossaceae
Osmunda_lancea|Osmundastrum_cinnamomeum,Osmundaceae
Asplenium_coenobiale|Hymenasplenium_hoffmannii,Aspleniaceae
Diplazium_macrophyllum|Deparia_nanakuraensis,Athyriaceae
Parablechnum_lechleri|Salpichlaena_papyrus,Blechnaceae
Cystopteris_diaphana|Gymnocarpium_robertianum,Cystopteridaceae
Diplaziopsis_cavaleriana|Homalosorus_pycnocarpos,Diplaziopsidaceae
Onocleopsis_hintonii|Pentarhizidium_orientale,Onocleaceae
Rhachidosorus_pulcher|Rhachidosorus_mesosorus,Rhachidosoraceae
Christella_boninensis|Macrothelypteris_polypodioides,Thelypteridaceae
Woodsia_ilvensis|Physematium_manchuriensis,Woodsiaceae
Hypolepis_hostilis|Monachosorum_maximowiczii,Dennstaedtiaceae
Lindsaea_phassa|Sphenomeris_clavata,Lindsaeaceae
Lonchitis_hirsuta|Lonchitis_occidentalis,Lonchitidaceae
Davallia_griffithiana|Davallia_beddomei,Davalliaceae
Didymochlaena_oceanica|Didymochlaena_sinuosa,Didymochlaenaceae
Dryopteris_anthracinisquama|Parapolystichum_currorii,Dryopteridaceae
Hypodematium_brevipilosum|Leucostegia_pallida,Hypodematiaceae
Lomariopsis_boivinii|Dryopolystichum_phaeostigma,Lomariopsidaceae
Nephrolepis_hirsutula|Nephrolepis_rivularis,Nephrolepidaceae
Oleandra_wallichii|Oleandra_distenta,Oleandraceae
Oreogrammitis_forbesiana|Dictymia_brownii,Polypodiaceae
Tectaria_hilocarpa|Arthropteris_articulata,Tectariaceae
Lytoneuron_crenulans|Acrostichum_danaeifolium,Pteridaceae
Saccoloma_brasiliense|Orthiopteris_ferulacea,Saccolomataceae
Tmesipteris_obliqua|Psilotum_complanatum,Psilotaceae
Marsilea_angustifolia|Regnellidium_diphyllum,Marsileaceae
Azolla_filiculoides|Salvinia_natans,Salviniaceae
Anemia_hispida|Anemia_colimensis,Anemiaceae
Lygodium_kerstenii|Lygodium_palmatum,Lygodiaceae
Schizaea_elegans|Actinostachys_digitata,Schizaeaceae
Diplazium_macrophyllum|Gymnocarpium_robertianum,Aspleniineae
Hypolepis_hostilis|Monachosorum_maximowiczii,Dennstaedtiineae
Lindsaea_phassa|Cystodium_sorbifolium,Lindsaeineae
Oreogrammitis_forbesiana|Leucostegia_pallida,Polypodiineae
Lytoneuron_crenulans|Acrostichum_danaeifolium,Pteridineae
Saccoloma_brasiliense|Orthiopteris_ferulacea,Saccolomatineae
Cyathea_minuta|Thyrsopteris_elegans,Cyatheales
Equisetum_ferrissii|Equisetum_pratense,Equisetales
Crepidomanes_inopinatum|Hymenophyllum_scabrum,Hymenophyllales
Angiopteris_cartilagidens|Danaea_erecta,Marattiales
Botrychium_gallicomontanum|Mankyua_chejuense,Ophioglossales
Osmunda_lancea|Osmundastrum_cinnamomeum,Osmundales
Oreogrammitis_forbesiana|Orthiopteris_ferulacea,Polypodiales
Tmesipteris_obliqua|Psilotum_complanatum,Psilotales
Marsilea_angustifolia|Salvinia_natans,Salviniales
Anemia_hispida|Lygodium_palmatum,Schizaeales
