species,genus,subfamily,family,suborder,order
Acrostichum_danaeifolium,Acrostichum,Parkerioideae,Pteridaceae,Pteridineae,Polypodiales
Actiniopteris_dimorpha,Actiniopteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Actiniopteris_semiflabellata,Actiniopteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Actiniopteris_australis,Actiniopteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Actiniopteris_radiata,Actiniopteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Onychium_cryptogrammoides,Onychium,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Onychium_moupinense,Onychium,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Onychium_japonicum,Onychium,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Onychium_lucidum,Onychium,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Onychium_plumosum,Onychium,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Onychium_siliculosum,Onychium,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Onychium_tenuifrons,Onychium,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Anogramma_leptophylla,Anogramma,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Anogramma_lorentzii,Anogramma,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Cosentinia_vellea,Cosentinia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Cerosora_microphylla,Cerosora,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Cerosora_argentea,Cerosora,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pityrogramma_austroamericana,Pityrogramma,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pityrogramma_sulphurea,Pityrogramma,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pityrogramma_tartarea,Pityrogramma,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pityrogramma_ochracea,Pityrogramma,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pityrogramma_calomelanos,Pityrogramma,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pityrogramma_trifoliata,Pityrogramma,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Gastoniella_chaerophylla,Gastoniella,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Gastoniella_ascensionis,Gastoniella,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Gastoniella_novogaliciana,Gastoniella,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_alstonii,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_brasiliensis,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_bogotensis,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_imbricata,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_laxa,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_pulchra,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_rotundifolia,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_canescens,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_scammaniae,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_cheilanthoides,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_elongata,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_flexuosa,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_hirta,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_cuatrecasasii,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_hispidula,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_hirsutula,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_lindigii,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_insignis,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_maxonii,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_blepharum,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_verticalis,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_congesta,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_cinnamomea,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_setulosa,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_warscewiczii,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_goudotii,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_longipetiolata,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_peruviana,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_rufescens,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_novogranatensis,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Jamesonia_osteniana,Jamesonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pterozonium_brevifrons,Pterozonium,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pterozonium_cyclosorum,Pterozonium,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pterozonium_reniforme,Pterozonium,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Taenitis_interrupta,Taenitis,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Taenitis_blechnoides,Taenitis,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Taenitis_dimorpha,Taenitis,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Taenitis_hookeri,Taenitis,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Taenitis_diversifolia,Taenitis,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Taenitis_cordata,Taenitis,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Taenitis_pinnata,Taenitis,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Austrogramme_boerlageana,Austrogramme,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Austrogramme_decipiens,Austrogramme,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Austrogramme_marginata,Austrogramme,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Syngramma_alismifolia,Syngramma,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Syngramma_quinata,Syngramma,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Syngramma_vittiformis,Syngramma,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Syngramma_lobbiana,Syngramma,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Syngramma_wallichii,Syngramma,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Syngramma_valleculata,Syngramma,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Syngramma_borneensis,Syngramma,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Syngramma_cartilagidens,Syngramma,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Tryonia_schwackeana,Tryonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Tryonia_myriophylla,Tryonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Tryonia_areniticola,Tryonia,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_actiniopteroides,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_henryi,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_dactylina,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_yamatensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_gallinopes,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_angustipinna,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_venulosa,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_kidoi,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
