DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Family
COLOR	#2986cc
COLOR_BRANCHES	1
SHOW_INTERNAL	1
STRIP_WIDTH	40
SHOW_STRIP_LABELS	0
DATA
Cibotium_menziesii|Cibotium_arachnoideum	#38F9FA	Cibotiaceae
Culcita_coniifolia|Culcita_macrocarpa	#FA16F8	Culcitaceae
Cyathea_pungens|Sphaeropteris_novae-caledoniae	#D7DD00	Cyatheaceae
Dicksonia_archboldii|Calochlaena_straminea	#FE3B1C	Dicksoniaceae
Loxsoma_cunninghamii|Loxsomopsis_pearcei	#773245	Loxsomataceae
Metaxya_rostrata|Metaxya_parkeri	#007AF6	Metaxyaceae
Plagiogyria_japonica|Plagiogyria_pectinata	#00FA63	Plagiogyriaceae
Equisetum_ferrissii|Equisetum_bogotense	#F8329E	Equisetaceae
Cheiropleuria_bicuspis|Dipteris_conjugata	#FD9E49	Dipteridaceae
Sticherus_compactus|Gleichenella_pectinata	#E1AFFF	Gleicheniaceae
Matonia_pectinata|Phanerosorus_major	#166E1C	Matoniaceae
Crepidomanes_inopinatum|Hymenophyllum_paniense	#F5DDC0	Hymenophyllaceae
Angiopteris_cartilagidens|Danaea_erecta	#266575	Marattiaceae
Botrychium_ascendens|Mankyua_chejuense	#A416F5	Ophioglossaceae
Osmunda_lancea|Osmundastrum_cinnamomeum	#4DC0FB	Osmundaceae
Asplenium_coenobiale|Hymenasplenium_hoffmannii	#FD889A	Aspleniaceae
Diplazium_macrophyllum|Deparia_nanakuraensis	#A21699	Athyriaceae
Parablechnum_lechleri|Salpichlaena_papyrus	#9AF6BF	Blechnaceae
Cystopteris_diaphana|Gymnocarpium_robertianum	#4D459C	Cystopteridaceae
Diplaziopsis_cavaleriana|Homalosorus_pycnocarpos	#CBDFF4	Diplaziopsidaceae
Onocleopsis_hintonii|Pentarhizidium_orientale	#79690D	Onocleaceae
Rhachidosorus_pulcher|Rhachidosorus_mesosorus	#C03516	Rhachidosoraceae
Christella_procera|Macrothelypteris_polypodioides	#ECA4C7	Thelypteridaceae
Woodsia_ilvensis|Physematium_manchuriensis	#72BA00	Woodsiaceae
Hypolepis_hostilis|Monachosorum_maximowiczii	#9B4916	Dennstaedtiaceae
Lindsaea_hemiglossa|Sphenomeris_clavata	#E8C062	Lindsaeaceae
Lonchitis_hirsuta|Lonchitis_occidentalis	#FF4BD4	Lonchitidaceae
Davallia_griffithiana|Davallia_pubescens	#FF2A72	Davalliaceae
Didymochlaena_fijiensis|Didymochlaena_sinuosa	#84917E	Didymochlaenaceae
Dryopteris_cycadina|Parapolystichum_currorii	#C0D685	Dryopteridaceae
Hypodematium_brevipilosum|Leucostegia_pallida	#A77FF8	Hypodematiaceae
Lomariopsis_boivinii|Dryopolystichum_phaeostigma	#774B80	Lomariopsidaceae
Nephrolepis_hirsutula|Nephrolepis_rivularis	#9F0D5F	Nephrolepidaceae
Oleandra_wallichii|Oleandra_distenta	#D45FEE	Oleandraceae
Archigrammitis_ponapensis|Dictymia_brownii	#421CFE	Polypodiaceae
Tectaria_hilocarpa|Arthropteris_articulata	#DF9C86	Tectariaceae
Doryopteris_sagittifolia|Acrostichum_danaeifolium	#FD8CE5	Pteridaceae
Saccoloma_elegans|Orthiopteris_ferulacea	#58B2A5	Saccolomataceae
Tmesipteris_obliqua|Psilotum_complanatum	#22FBA6	Psilotaceae
Marsilea_angustifolia|Regnellidium_diphyllum	#8891C1	Marsileaceae
Azolla_filiculoides|Salvinia_cucullata	#A994A9	Salviniaceae
Anemia_hispida|Anemia_colimensis	#5D493B	Anemiaceae
Lygodium_kerstenii|Lygodium_palmatum	#C6E9D3	Lygodiaceae
Schizaea_incurvata|Actinostachys_digitata	#91FC26	Schizaeaceae
